instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts;error
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-477.0;-495.0;-14.75895601373935;-7.700493768612076;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.484842066;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0020290043177036204, 0.010805992674679956, 0.0011634428758713613, 0.003313815415953344], 3 => Any[1.0, 1.0, 0.00013407383280665961, 0.0012085978412755632, 0.0003327815231074752, 0.0011278901528087282]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-459.0;-471.0;-14.583458263852986;-7.734096007008102;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.342101529;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 7.990616107036967e-5, 0.0005921633357675929, 0.0007869215359236529, 0.004394063799846512], 3 => Any[1.0, 1.0, 0.004675961317794192, 0.012178826812328097, 0.0011261777247497055, 0.002823896501582772]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-459.0;-471.0;-14.654457009749166;-8.069631888022467;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.270083016;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0013796698779959243, 0.00043661424117158974, 0.0037364987511103844, 0.00026253350177644945], 3 => Any[1.0, 1.0, 0.0025497835452511423, 2.0007619314458705e-5, 0.01692219205949683, 0.0014261888497212744]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-459.0;-471.0;-18.426682792059637;-6.914916538195514;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.31665506;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.004991425748170906, 0.0003521574939318098, 0.0003261728013120313, 1.9755469729369225e-5], 3 => Any[1.0, 1.0, 0.003281159298856426, 0.0003967765645718414, 0.002659891200559464, 0.0006268245646796838]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-459.0;-471.0;-14.561976151937147;-7.061814287272388;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.241752543;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.005630577627875422, 0.0010758413959689932, 0.0005008431738385444, 0.00020077010012164653], 3 => Any[1.0, 1.0, 0.0026144006716067435, 0.001217357594966144, 0.012111611628320484, 0.004868707385591632]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-459.0;-471.0;-16.196486310948888;-7.153761070206059;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.395429551;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.3522129617425017e-5, 0.00018375456406931182, 0.0002615945109697933, 0.0050168144459124655], 3 => Any[1.0, 1.0, 0.001299518617289832, 0.0029846806398324214, 0.0002975085204437951, 0.0037289507438432626]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-459.0;-471.0;-14.643059946569407;-7.294199579305701;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.116496931;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.010136682268461613, 0.00265954655035872, 0.010246035900870408, 0.0018742085396586188], 3 => Any[1.0, 1.0, 0.0002853000295574714, 0.0003061687264228278, 0.004216017194345541, 0.0006687006494870476]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-459.0;-471.0;-14.643829678398305;-7.217983778357835;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;6.924904861;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00186398050793131, 0.010202677223297823, 0.002708417999214123, 0.010321426266830473], 3 => Any[1.0, 1.0, 0.0006561979832174632, 0.004225091614646248, 0.0003045576958668469, 0.0003215298702107803]);
005_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-459.0;-471.0;-14.686129622306142;-7.297714846606764;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.050684317;0.0012;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00025824138447105974, 0.0031891617970909764, 0.0003604986460829694, 0.0014050904371167411], 3 => Any[1.0, 1.0, 0.0014954094618662914, 0.018394527220800056, 1.8097731184723896e-5, 0.0017763689191087216]);
006_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-454.0;-460.0;-18.278626215807645;-7.140781170542271;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.647855893;0.0015;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.014202533067853905, 0.0008158224248559302, 0.005139686308898211, 0.00019106214305433501], 3 => Any[1.0, 1.0, 0.0003627327582061454, 0.00012240636966159773, 0.00044741165421367877, 0.0001341851048779538]);
006_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-454.0;-460.0;-18.317659497076843;-7.774499878293085;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.172476997;0.0015;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0011533626932509833, 0.0033773631269776974, 0.00010327878223092925, 0.002727294232170974], 3 => Any[1.0, 1.0, 0.00015796072032439202, 0.003200650220478335, 0.0001050201537790335, 0.0006377266398146714]);
